v1,v2,v3,J,Ka,Kc,E,unc
0,0,0,13,13,1,2509.170161,122.0
0,2,0,4,2,2,2511.637963,138.1
0,1,0,9,9,0,2514.577569,122.0
0,1,0,9,9,1,2514.577569,122.0
0,2,0,3,3,1,2516.952620,193.0
0,2,0,3,3,0,2516.998405,193.1
0,1,0,14,2,12,2522.365010,161.0
0,1,0,14,3,12,2523.793206,177.6
0,0,0,21,1,20,2528.678681,944.2
0,0,0,21,2,20,2528.678973,662.3
0,0,0,16,10,7,2536.094470,122.0
0,0,0,16,10,6,2536.095877,438.2
0,0,0,19,4,15,2541.691368,688.2
0,0,0,22,0,22,2544.759493,525.8
0,0,0,18,7,12,2546.032980,122.0
0,0,0,19,5,15,2546.768439,421.9
0,2,0,5,1,4,2546.780425,264.0
0,0,0,18,7,11,2552.655728,459.5
0,1,0,15,1,14,2558.530391,165.0
0,1,0,15,2,14,2558.570375,152.0
0,1,0,13,5,9,2560.514188,140.3
0,1,0,16,0,16,2563.411155,190.3
0,1,0,16,1,16,2563.411541,199.8
0,2,0,5,2,4,2565.423576,156.5
0,2,0,4,3,2,2566.303075,190.8
0,2,0,4,3,1,2566.615278,130.9
0,2,0,6,0,6,2569.534837,139.9
0,1,0,13,5,8,2570.619633,167.2
0,2,0,6,1,6,2570.649997,192.3
0,2,0,5,2,3,2577.645181,130.1
0,0,0,17,9,9,2589.896107,460.7
0,0,0,17,9,8,2589.920300,122.0
0,1,0,14,3,11,2619.924932,161.6
0,1,0,11,8,3,2620.986311,272.1
0,1,0,11,8,4,2620.986516,186.3
0,2,0,6,1,5,2622.609424,138.7
0,2,0,5,3,3,2628.055983,157.1
0,2,0,5,3,2,2629.254545,131.0
0,1,0,12,7,6,2629.456058,191.0
0,1,0,12,7,5,2629.482616,152.2
0,1,0,14,4,11,2632.212770,179.4
0,2,0,6,2,5,2636.156449,188.5
0,0,0,19,5,14,2637.286816,616.6
0,1,0,10,9,1,2638.840870,122.0
0,1,0,10,9,2,2638.840870,121.4
0,0,0,20,3,17,2641.352297,644.2
0,0,0,20,4,17,2641.645430,743.7
0,2,0,7,0,7,2642.033945,219.6
0,2,0,7,1,7,2642.601967,174.7
0,2,0,4,4,1,2646.842929,271.2
0,2,0,4,4,0,2646.846909,266.3
0,2,0,6,2,4,2657.455310,156.9
0,0,0,19,6,14,2664.056379,445.6
0,1,0,13,6,8,2667.072907,151.6
0,1,0,13,6,7,2668.249785,181.0
0,0,0,18,8,11,2670.378800,122.0
0,0,0,18,8,10,2671.169370,432.3
1,0,0,0,0,0,2671.645857,396.4
0,0,0,15,12,4,2683.454430,122.0
0,0,0,15,12,3,2683.454430,125.0
1,0,0,1,0,1,2683.604774,922.2
0,0,0,14,13,1,2683.762123,126.0
0,0,0,14,13,2,2683.762123,126.0
0,1,0,14,4,10,2687.124976,180.1
1,0,0,1,1,1,2691.606149,160.0
0,1,0,15,2,13,2692.421095,201.8
0,1,0,15,3,13,2693.204468,161.0
1,0,0,1,1,0,2694.010888,161.8
0,2,0,6,3,4,2702.097830,214.3
0,0,0,16,11,6,2703.089280,124.0
0,0,0,16,11,5,2703.089859,521.2
0,2,0,6,3,3,2705.454544,188.8
1,0,0,2,0,2,2707.052112,219.7
0,0,0,19,6,13,2708.371200,123.0
0,2,0,7,1,6,2708.552081,192.7
0,2,0,5,4,2,2708.639417,172.0
0,2,0,5,4,1,2708.674786,172.4
0,0,0,21,2,19,2710.740734,652.6
0,0,0,21,3,19,2710.748785,571.6
1,0,0,2,1,2,2713.120842,266.4
0,2,0,7,2,6,2717.619197,157.5
1,0,0,2,1,1,2720.328769,221.2
0,2,0,8,0,8,2723.826462,175.9
0,2,0,8,1,8,2724.108493,194.7
0,1,0,16,1,15,2727.026045,183.5
0,1,0,16,2,15,2727.046455,207.2
0,1,0,17,1,17,2730.546033,215.5
0,1,0,17,0,17,2730.546467,277.6
0,1,0,14,5,10,2733.267697,176.6
1,0,0,3,0,3,2741.153817,265.7
1,0,0,2,2,1,2744.245236,174.4
0,0,0,17,10,8,2744.549724,456.2
0,0,0,17,10,7,2744.550200,124.0
1,0,0,2,2,0,2744.709570,159.7
1,0,0,3,1,3,2745.115876,254.8
0,2,0,7,2,5,2750.435294,190.7
0,1,0,14,5,9,2750.801556,185.9
0,0,0,22,1,21,2753.654016,501.7
0,0,0,22,2,21,2753.655451,952.3
1,0,0,3,1,2,2759.456380,382.3
0,1,0,12,8,5,2769.431473,368.9
0,1,0,12,8,4,2769.431898,186.4
0,0,0,23,1,23,2769.476420,124.0
0,1,0,11,9,2,2775.335510,124.0
0,1,0,11,9,3,2775.335653,190.8
0,0,0,20,4,16,2777.464603,555.8
0,0,0,19,7,13,2778.899332,392.2
1,0,0,3,2,2,2780.121250,215.4
0,0,0,20,5,16,2780.520847,454.8
1,0,0,3,2,1,2782.332529,274.3
0,2,0,6,4,3,2782.954855,254.4
0,2,0,6,4,2,2783.125950,156.9
1,0,0,4,0,4,2785.077311,149.2
1,0,0,4,1,4,2787.334957,159.7
0,0,1,0,0,0,2787.717995,384.6
0,2,0,7,3,5,2788.208427,171.0
0,1,0,13,7,7,2790.241352,128.2
0,1,0,13,7,6,2790.321350,125.0
0,0,0,19,7,12,2790.616023,502.8
0,2,0,7,3,4,2795.768568,172.9
0,0,1,1,0,1,2799.758129,265.0
0,1,0,15,3,12,2802.857311,205.3
0,2,0,8,1,7,2803.830554,124.3
0,1,0,10,10,0,2805.525140,125.0
0,1,0,10,10,1,2805.525140,125.0
0,0,1,1,1,1,2807.393322,175.6
0,2,0,8,2,7,2809.456709,171.9
0,2,0,5,5,0,2809.722982,280.5
0,2,0,5,5,1,2809.723397,272.1
0,0,1,1,1,0,2809.842559,162.8
0,0,0,18,9,10,2810.227830,125.0
0,0,0,18,9,9,2810.293215,427.1
0,1,0,15,4,12,2810.669121,176.0
1,0,0,4,1,3,2810.900950,758.5
0,2,0,9,0,9,2814.963528,223.0
0,2,0,9,1,9,2815.101726,194.2
0,0,1,2,0,2,2823.330604,260.7
1,0,0,3,3,1,2825.946864,220.9
1,0,0,3,3,0,2826.004915,353.9
1,0,0,4,2,3,2827.559823,346.1
0,0,1,2,1,2,2829.029084,218.8
1,0,0,4,2,2,2833.603474,264.9
0,0,1,2,1,1,2836.369968,263.3
1,0,0,5,0,5,2838.374366,172.2
1,0,0,5,1,5,2839.536581,158.6
0,1,0,14,6,9,2840.595565,325.2
0,1,0,14,6,8,2843.202152,143.7
0,2,0,8,2,6,2855.739482,138.5
0,0,1,3,0,3,2857.551781,260.7
